t,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode
0.000,2.876,-1.033,-1.284,-0.012,0.055,-0.840,0.5514139533042908,0.36666637659072876,-0.055045437067747116,
0.101,2.878,-1.030,-1.370,-0.017,0.061,-0.817,0.4833022952079773,0.32486337423324585,-0.06081841513514519,
0.202,2.878,-1.026,-1.451,-0.016,0.065,-0.865,-0.012679134495556355,-0.5423133969306946,-0.03948895260691643,OFFBOARD
0.303,2.880,-1.022,-1.541,0.002,0.060,-0.872,-0.35773348808288574,-1.5363599061965942,-0.04173018038272858,OFFBOARD
0.404,2.884,-1.018,-1.624,0.034,0.052,-0.846,-0.42514124512672424,-2.2927019596099854,-0.02000023052096367,OFFBOARD
0.504,2.892,-1.015,-1.709,0.076,0.041,-0.796,-0.38015586137771606,-2.877049207687378,-8.021735191345215,OFFBOARD
0.606,2.902,-1.013,-1.782,0.123,0.030,-0.738,0.2986653745174408,-3.3193376064300537,-7.464025020599365,OFFBOARD
0.707,2.918,-1.012,-1.855,0.179,0.026,-0.671,0.6743394732475281,-3.7041287422180176,-6.0447611808776855,OFFBOARD
0.807,2.938,-1.011,-1.917,0.235,0.028,-0.607,0.4294874370098114,-3.962245464324951,-4.471772193908691,OFFBOARD
0.908,2.965,-1.009,-1.978,0.301,0.026,-0.541,0.04939661920070648,-4.134959697723389,-3.093587636947632,OFFBOARD
1.009,2.995,-1.007,-2.029,0.363,0.022,-0.481,-0.3032490909099579,-4.286035537719727,-1.6302517652511597,OFFBOARD
1.110,3.034,-1.005,-2.078,0.433,0.013,-0.418,-0.4875817894935608,-4.3415608406066895,-0.47212713956832886,OFFBOARD
1.211,3.076,-1.003,-2.118,0.498,0.008,-0.366,-0.5380130410194397,-4.31339693069458,0.48321494460105896,OFFBOARD
1.313,3.129,-1.000,-2.156,0.568,0.004,-0.317,-0.5316200852394104,-4.208358287811279,1.2791544198989868,OFFBOARD
1.415,3.183,-0.997,-2.187,0.633,0.001,-0.275,-0.48654866218566895,-4.081000804901123,1.8911840915679932,OFFBOARD
1.516,3.250,-0.993,-2.217,0.699,0.001,-0.235,-0.48047304153442383,-3.899843215942383,2.3893344402313232,OFFBOARD
1.617,3.317,-0.988,-2.241,0.757,0.002,-0.204,-0.46503666043281555,-3.6949119567871094,2.6223104000091553,OFFBOARD
1.717,3.397,-0.982,-2.263,0.818,0.003,-0.173,-0.4594670236110687,-3.4108669757843018,2.7173256874084473,OFFBOARD
1.819,3.476,-0.976,-2.281,0.870,0.004,-0.149,-0.44188353419303894,-3.0684781074523926,2.6407620906829834,OFFBOARD
1.920,3.567,-0.969,-2.299,0.920,0.008,-0.126,-0.48001477122306824,-2.7642006874084473,2.4620676040649414,OFFBOARD
2.021,3.657,-0.962,-2.312,0.963,0.009,-0.109,-0.5269757509231567,-2.447089910507202,2.180821180343628,OFFBOARD
2.122,3.758,-0.954,-2.325,1.003,0.010,-0.093,-0.5640506744384766,-2.138127326965332,1.877638578414917,OFFBOARD
2.223,3.856,-0.946,-2.335,1.038,0.008,-0.080,-0.6117898225784302,-1.7806224822998047,1.539896011352539,OFFBOARD
2.324,4.001,-0.936,-2.348,1.077,0.003,-0.066,-0.6494598388671875,-1.3951916694641113,1.1792031526565552,OFFBOARD
2.424,4.106,-0.931,-2.355,1.098,-0.004,-0.060,-0.660598635673523,-1.0871871709823608,0.8747258186340332,OFFBOARD
2.525,4.222,-0.926,-2.362,1.114,-0.012,-0.055,-0.6627579927444458,-0.7742336988449097,0.6025280356407166,OFFBOARD
2.626,4.331,-0.923,-2.368,1.125,-0.019,-0.050,-0.6508077383041382,-0.5106910467147827,0.4101930558681488,OFFBOARD
2.727,4.451,-0.921,-2.373,1.133,-0.026,-0.046,-0.6507903933525085,-0.2513895630836487,0.27323198318481445,OFFBOARD
2.827,4.563,-0.920,-2.378,1.138,-0.033,-0.043,-0.6450932025909424,-0.012300209142267704,0.19861042499542236,OFFBOARD
2.929,4.686,-0.919,-2.383,1.139,-0.041,-0.041,-0.6311482191085815,0.24641212821006775,0.16542692482471466,OFFBOARD
3.030,4.800,-0.920,-2.387,1.137,-0.049,-0.041,-0.5976476073265076,0.47607648372650146,0.15003585815429688,OFFBOARD
3.131,4.924,-0.922,-2.391,1.131,-0.057,-0.038,-0.5529210567474365,0.681235671043396,0.18605932593345642,OFFBOARD
3.232,5.037,-0.924,-2.395,1.122,-0.064,-0.039,-0.4749196767807007,1.0995323657989502,0.20611628890037537,OFFBOARD
3.333,5.159,-0.928,-2.399,1.100,-0.072,-0.038,-0.4068048596382141,1.8900291919708252,0.2289438396692276,OFFBOARD
3.434,5.269,-0.932,-2.403,1.066,-0.076,-0.036,-0.3123086094856262,2.771852731704712,0.262529581785202,OFFBOARD
3.535,5.384,-0.938,-2.407,1.014,-0.081,-0.037,-0.23656241595745087,3.534702777862549,0.27762624621391296,OFFBOARD
3.635,5.485,-0.944,-2.410,0.955,-0.085,-0.037,-0.14591912925243378,4.144276142120361,0.2773725390434265,OFFBOARD
3.737,5.588,-0.951,-2.413,0.881,-0.090,-0.036,-0.025173870846629143,4.62239933013916,0.26495301723480225,OFFBOARD
3.838,5.676,-0.959,-2.416,0.807,-0.090,-0.036,0.4164324998855591,4.959623336791992,0.27426597476005554,OFFBOARD
3.939,5.763,-0.967,-2.418,0.721,-0.080,-0.033,1.1984132528305054,5.2086615562438965,0.27854490280151367,OFFBOARD
4.039,5.836,-0.973,-2.421,0.640,-0.057,-0.033,2.021585464477539,5.368052959442139,0.27573147416114807,OFFBOARD
4.140,5.907,-0.977,-2.423,0.551,-0.019,-0.033,2.79447078704834,5.4725775718688965,0.2836243212223053,OFFBOARD
4.240,5.964,-0.978,-2.425,0.465,0.026,-0.033,3.3366477489471436,5.496615409851074,0.30256372690200806,OFFBOARD
4.341,6.017,-0.974,-2.427,0.374,0.081,-0.034,3.7504220008850098,5.446256637573242,0.35020574927330017,OFFBOARD
4.442,6.057,-0.966,-2.429,0.291,0.138,-0.033,4.083320140838623,5.359151363372803,0.4165838956832886,OFFBOARD
4.543,6.092,-0.952,-2.431,0.202,0.202,-0.031,4.326186180114746,5.225062370300293,0.4838758707046509,OFFBOARD
4.644,6.115,-0.934,-2.432,0.122,0.263,-0.030,4.526853561401367,5.044277667999268,0.5736868977546692,OFFBOARD
4.744,6.132,-0.908,-2.433,0.038,0.331,-0.030,4.6225266456604,4.815585613250732,0.6272150874137878,OFFBOARD
4.846,6.139,-0.878,-2.434,-0.035,0.397,-0.030,4.708464622497559,4.605997085571289,0.6731592416763306,OFFBOARD
4.947,6.138,-0.839,-2.436,-0.112,0.469,-0.031,4.669265270233154,4.313162803649902,0.6825256943702698,OFFBOARD
5.047,6.129,-0.797,-2.437,-0.178,0.535,-0.030,4.510060787200928,3.9710447788238525,0.6479429006576538,OFFBOARD
5.148,6.112,-0.743,-2.438,-0.244,0.602,-0.032,4.317476272583008,3.6460041999816895,0.552507758140564,OFFBOARD
5.249,6.091,-0.686,-2.440,-0.298,0.664,-0.031,4.083041667938232,3.3395650386810303,0.4097476601600647,OFFBOARD
5.349,6.061,-0.618,-2.442,-0.354,0.726,-0.032,3.7987968921661377,3.0535519123077393,0.2779558002948761,OFFBOARD
5.451,6.028,-0.549,-2.443,-0.398,0.778,-0.031,3.437776803970337,2.7470510005950928,0.12907281517982483,OFFBOARD
5.552,5.986,-0.468,-2.445,-0.442,0.830,-0.031,3.062333345413208,2.4686858654022217,0.007487386930733919,OFFBOARD
5.652,5.944,-0.388,-2.446,-0.477,0.873,-0.029,2.6665585041046143,2.1965391635894775,-0.09755504131317139,OFFBOARD
5.753,5.894,-0.296,-2.448,-0.512,0.911,-0.029,2.206737518310547,1.905340552330017,-0.17352652549743652,OFFBOARD
5.854,5.843,-0.207,-2.449,-0.540,0.941,-0.030,1.7729685306549072,1.6598910093307495,-0.21621409058570862,OFFBOARD
5.955,5.785,-0.106,-2.450,-0.564,0.968,-0.030,1.31299889087677,1.4239436388015747,-0.25469887256622314,OFFBOARD
6.055,5.729,-0.010,-2.451,-0.584,0.985,-0.031,0.804302453994751,1.1791716814041138,-0.2597653865814209,OFFBOARD
6.158,5.666,0.097,-2.452,-0.603,0.995,-0.030,0.36318880319595337,0.9855197072029114,-0.23043879866600037,OFFBOARD
6.258,5.605,0.197,-2.453,-0.620,0.997,-0.031,-0.03650137782096863,0.8027105927467346,-0.20997269451618195,OFFBOARD
6.360,5.536,0.306,-2.454,-0.634,0.994,-0.030,-0.41502460837364197,0.6165860295295715,-0.15352649986743927,OFFBOARD
6.460,5.471,0.407,-2.455,-0.645,0.985,-0.031,-0.7643858194351196,0.4576956331729889,-0.11834707111120224,OFFBOARD
6.561,5.398,0.516,-2.456,-0.654,0.969,-0.031,-1.0724294185638428,0.33113497495651245,-0.0914483591914177,OFFBOARD
6.662,5.330,0.615,-2.457,-0.661,0.950,-0.031,-1.3812134265899658,0.20352350175380707,-0.06330922245979309,OFFBOARD
6.762,5.256,0.721,-2.458,-0.667,0.925,-0.030,-1.6484068632125854,0.09638166427612305,-0.04705413058400154,OFFBOARD
6.863,5.186,0.816,-2.459,-0.671,0.897,-0.031,-1.8856912851333618,0.020030388608574867,-0.040365323424339294,OFFBOARD
6.963,5.110,0.916,-2.460,-0.675,0.865,-0.028,-2.067723274230957,-0.033388346433639526,-0.04586883634328842,OFFBOARD
7.064,5.039,1.005,-2.461,-0.677,0.831,-0.027,-2.2138376235961914,-0.079071544110775,-0.05957542732357979,OFFBOARD
7.165,4.962,1.098,-2.461,-0.679,0.793,-0.027,-2.347235679626465,-0.09856856614351273,-0.06217263266444206,OFFBOARD
7.266,4.891,1.181,-2.462,-0.679,0.753,-0.027,-2.4435079097747803,-0.11584219336509705,-0.07708493620157242,OFFBOARD
7.367,4.814,1.266,-2.462,-0.678,0.709,-0.028,-2.5133981704711914,-0.11460383236408234,-0.07548309117555618,OFFBOARD
7.468,4.743,1.339,-2.463,-0.679,0.669,-0.027,-2.5301783084869385,-0.06412729620933533,-0.07201118767261505,OFFBOARD
7.568,4.666,1.415,-2.464,-0.679,0.626,-0.028,-2.540015459060669,-0.04698830470442772,-0.06807983666658401,OFFBOARD
7.670,4.595,1.480,-2.465,-0.680,0.585,-0.028,-2.5628561973571777,0.0023885793052613735,-0.08021144568920135,OFFBOARD
7.772,4.518,1.544,-2.466,-0.682,0.538,-0.028,-2.5033020973205566,0.0576687790453434,-0.07393965125083923,OFFBOARD
7.872,4.448,1.600,-2.467,-0.683,0.498,-0.027,-2.421184778213501,0.13100199401378632,-0.0714024230837822,OFFBOARD
7.973,4.371,1.655,-2.468,-0.688,0.456,-0.027,-2.3523330688476562,0.17278683185577393,-0.06033797934651375,OFFBOARD
8.073,4.300,1.701,-2.468,-0.693,0.415,-0.026,-2.262485980987549,0.19393759965896606,-0.0770067349076271,OFFBOARD
8.174,4.222,1.745,-2.469,-0.699,0.374,-0.026,-2.1617188453674316,0.2287980318069458,-0.08491908013820648,OFFBOARD
8.276,4.150,1.782,-2.470,-0.704,0.336,-0.025,-2.0129594802856445,0.3086172640323639,-0.08070247620344162,OFFBOARD
8.377,4.072,1.817,-2.471,-0.710,0.297,-0.025,-1.8587676286697388,0.40225905179977417,-0.08509144932031631,OFFBOARD
8.477,3.999,1.846,-2.471,-0.717,0.263,-0.024,-1.7178243398666382,0.4569595754146576,-0.07365784049034119,OFFBOARD
8.578,3.920,1.873,-2.472,-0.727,0.230,-0.025,-1.5814783573150635,0.4626733660697937,-0.07179930806159973,OFFBOARD
8.680,3.815,1.902,-2.473,-0.740,0.188,-0.023,-1.4473390579223633,0.47126707434654236,-0.10163931548595428,OFFBOARD
8.781,3.741,1.918,-2.474,-0.751,0.161,-0.023,-1.326751470565796,0.5124855637550354,-0.09019705653190613,OFFBOARD
8.881,3.659,1.932,-2.474,-0.763,0.133,-0.022,-1.2033213376998901,0.4938758909702301,-0.1065334677696228,OFFBOARD
8.982,3.582,1.942,-2.475,-0.772,0.110,-0.019,-1.0783370733261108,0.4765770733356476,-0.09071415662765503,OFFBOARD
9.083,3.499,1.950,-2.475,-0.780,0.085,-0.020,-0.9742701053619385,0.457838237285614,-0.10094153136014938,OFFBOARD
9.185,3.421,1.955,-2.475,-0.790,0.064,-0.020,-0.861427903175354,0.47677096724510193,-0.1171501949429512,OFFBOARD
9.285,3.336,1.958,-2.476,-0.798,0.044,-0.019,-0.7833490371704102,0.4487132430076599,-0.09308589994907379,OFFBOARD
