t,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode
0.101,0.042,0.019,-4.939,-0.009,0.033,0.110,0.004439688287675381,0.24251380562782288,0.44118618965148926,
0.202,0.044,0.021,-4.898,-0.009,0.031,0.651,-0.16870705783367157,0.1269758939743042,0.4191266596317291,
0.303,0.045,0.023,-4.818,-0.008,0.026,0.986,-0.24754951894283295,0.06990233808755875,0.3797542154788971,
0.404,0.046,0.025,-4.708,-0.004,0.020,1.225,-0.2412583827972412,0.07931464165449142,0.2967674732208252,
0.505,0.048,0.027,-4.592,-0.003,0.015,1.368,-0.17823612689971924,0.13948865234851837,0.20047439634799957,
0.606,0.049,0.028,-4.455,-0.002,0.012,1.471,-0.12979409098625183,0.17095458507537842,0.088665671646595,
0.707,0.050,0.029,-4.320,-0.003,0.011,1.534,-0.12163329869508743,0.2079789787530899,0.02624697983264923,
0.808,0.051,0.031,-4.169,-0.005,0.009,1.574,-0.13093213737010956,0.2182566225528717,-0.014015897177159786,
0.910,0.051,0.032,-4.025,-0.009,0.008,1.598,-0.15767036378383636,0.1996825784444809,-0.05177483707666397,
1.011,0.051,0.033,-3.866,-0.011,0.004,1.602,-0.16847160458564758,0.1869356781244278,-0.05685729160904884,OFFBOARD
1.112,0.050,0.034,-3.721,-0.013,0.001,1.553,-0.16097989678382874,0.16720423102378845,-0.07279352843761444,OFFBOARD
1.212,0.050,0.034,-3.569,-0.016,-0.001,1.459,-0.14736631512641907,0.15983562171459198,-0.05114028975367546,OFFBOARD
1.313,0.050,0.035,-3.438,-0.016,-0.004,1.349,-0.13365770876407623,0.1511184126138687,-0.03257445618510246,OFFBOARD
1.414,0.050,0.035,-3.307,-0.017,-0.008,1.217,-0.12259456515312195,0.15875248610973358,-0.023070812225341797,OFFBOARD
1.515,0.050,0.035,-3.196,-0.017,-0.011,1.087,-0.10500390827655792,0.16410113871097565,-0.008462827652692795,OFFBOARD
1.615,0.050,0.034,-3.088,-0.017,-0.012,0.950,-0.07038703560829163,0.1970641016960144,-0.005095961969345808,OFFBOARD
1.717,0.049,0.033,-3.000,-0.019,-0.015,0.830,-0.0675036683678627,0.20446424186229706,0.02370619587600231,OFFBOARD
1.817,0.048,0.032,-2.916,-0.020,-0.019,0.707,-0.05775124579668045,0.19217969477176666,0.03523502126336098,OFFBOARD
1.918,0.046,0.031,-2.849,-0.024,-0.021,0.601,-0.01096024364233017,0.1815483570098877,0.03305790200829506,OFFBOARD
