t,unix_time,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode,mission_phase,mission_t0_unix
0.101,1767787722.819281,0.009,-0.007,-0.626,0.006,-0.009,-1.001,-0.0028588471468538046,0.1047702208161354,0.6890608072280884,,INIT,
0.202,1767787722.919931,0.010,-0.007,-0.719,0.003,-0.010,-1.023,-0.02371850237250328,0.10676424950361252,0.7001513242721558,,INIT,
0.304,1767787723.021732,0.011,-0.006,-0.820,0.001,-0.009,-1.003,-0.02601696364581585,0.11748119443655014,0.6995572447776794,,INIT,
0.405,1767787723.122739,0.011,-0.006,-0.910,-0.000,-0.008,-0.962,-0.054870396852493286,0.10159317404031754,0.7200098633766174,,INIT,
0.506,1767787723.223712,0.012,-0.005,-1.004,-0.001,-0.007,-0.921,-0.08826956897974014,0.10701465606689453,0.7279173135757446,,INIT,
0.606,1767787723.323822,0.012,-0.005,-1.088,-0.001,-0.008,-0.892,-0.07626949995756149,0.12651000916957855,0.7286560535430908,,INIT,
0.707,1767787723.424532,0.013,-0.004,-1.177,-0.002,-0.009,-0.864,-0.06643489003181458,0.12247966229915619,0.7245984077453613,,INIT,
0.808,1767787723.525646,0.013,-0.004,-1.258,-0.005,-0.009,-0.841,-0.06930195540189743,0.10542745888233185,0.7328786849975586,,INIT,
0.908,1767787723.625961,0.014,-0.005,-1.344,-0.007,-0.012,-0.817,-0.06778214871883392,0.08472289890050888,0.7178946733474731,,INIT,
1.009,1767787723.726799,0.014,-0.005,-1.422,-0.008,-0.013,-0.792,-0.03617172688245773,0.09018979966640472,0.7113502025604248,TAKEOFF,INIT,
1.110,1767787723.827487,0.015,-0.007,-1.503,-0.008,-0.013,-0.762,-0.02818828634917736,0.10630671679973602,0.7190965414047241,TAKEOFF,INIT,
1.210,1767787723.927809,0.015,-0.008,-1.576,-0.008,-0.015,-0.734,-0.008703114464879036,0.09678210318088531,0.7014129757881165,TAKEOFF,INIT,
1.310,1767787724.028088,0.014,-0.009,-1.653,-0.009,-0.015,-0.705,0.019035059958696365,0.09598414599895477,0.5249500274658203,TAKEOFF,INIT,
1.411,1767787724.129038,0.014,-0.011,-1.721,-0.011,-0.016,-0.676,0.03252788260579109,0.08444763720035553,0.5422386527061462,TAKEOFF,INIT,
1.512,1767787724.230029,0.013,-0.013,-1.791,-0.014,-0.018,-0.638,0.07572434097528458,0.047109149396419525,0.5602569580078125,TAKEOFF,INIT,
1.613,1767787724.331156,0.012,-0.016,-1.851,-0.015,-0.018,-0.570,0.11648853868246078,0.040103036910295486,0.5777152180671692,TAKEOFF,INIT,
1.714,1767787724.431563,0.010,-0.018,-1.908,-0.016,-0.017,-0.459,0.13176782429218292,-0.005874340422451496,0.5441113114356995,TAKEOFF,INIT,
1.814,1767787724.531739,0.008,-0.021,-1.915,-0.018,-0.019,0.388,0.22191907465457916,-0.06957979500293732,0.5367316007614136,TAKEOFF,INIT,
1.915,1767787724.632750,0.007,-0.023,-1.863,-0.019,-0.018,0.782,0.29560771584510803,-0.12998110055923462,0.5383017659187317,TAKEOFF,INIT,
2.016,1767787724.734088,0.005,-0.025,-1.778,-0.018,-0.016,1.037,0.3118290901184082,-0.15330177545547485,0.5662057399749756,OFFBOARD,INIT,
2.117,1767787724.834676,0.004,-0.027,-1.686,-0.015,-0.014,1.156,0.3132752776145935,-0.1714772880077362,0.6040799617767334,OFFBOARD,INIT,
2.217,1767787724.935136,0.004,-0.029,-1.579,-0.013,-0.010,1.198,0.2728193402290344,-0.14968550205230713,0.6429793834686279,OFFBOARD,INIT,
2.318,1767787725.035564,0.004,-0.030,-1.479,-0.010,-0.007,1.184,0.27445754408836365,-0.12876810133457184,0.6907832026481628,OFFBOARD,INIT,
2.419,1767787725.136637,0.004,-0.031,-1.373,-0.008,-0.005,1.130,0.2565768361091614,-0.1020573228597641,0.7362591624259949,OFFBOARD,INIT,
2.519,1767787725.236859,0.003,-0.033,-1.278,-0.007,-0.003,1.058,0.2572552263736725,-0.09121400117874146,0.7566694021224976,OFFBOARD,INIT,
2.620,1767787725.337700,0.003,-0.034,-1.182,-0.006,-0.001,0.967,0.26236987113952637,-0.07778136432170868,0.734260618686676,OFFBOARD,INIT,
2.721,1767787725.438713,0.004,-0.035,-1.099,-0.006,0.002,0.875,0.26272881031036377,-0.08763639628887177,0.7228698134422302,OFFBOARD,INIT,
2.822,1767787725.539528,0.004,-0.036,-1.019,-0.002,0.007,0.692,0.21035991609096527,-0.06463698297739029,0.7003317475318909,OFFBOARD,INIT,
2.923,1767787725.640638,0.004,-0.037,-0.967,-0.001,0.008,0.446,0.052546579390764236,-0.0018158868188038468,0.6897956728935242,OFFBOARD,INIT,
3.023,1767787725.740821,0.005,-0.038,-0.932,0.001,0.007,0.247,-0.026465842500329018,0.029693832620978355,0.7017793655395508,OFFBOARD,INIT,
3.124,1767787725.842409,0.005,-0.039,-0.918,0.001,0.005,0.155,-0.020169338211417198,0.05263293534517288,0.6949247717857361,OFFBOARD,INIT,
3.225,1767787725.943296,0.005,-0.041,-0.904,0.001,0.003,0.047,0.03266875445842743,0.05781842768192291,0.6868031024932861,OFFBOARD,INIT,
3.326,1767787726.043861,0.006,-0.043,-0.898,-0.000,0.002,-0.035,0.05479903891682625,0.05005961284041405,0.6633933186531067,OFFBOARD,INIT,
3.426,1767787726.144045,0.006,-0.046,-0.899,0.000,-0.001,-0.107,0.09199602156877518,0.03293560445308685,0.6950082182884216,OFFBOARD,INIT,
3.526,1767787726.244457,0.006,-0.048,-0.905,-0.001,-0.003,-0.136,0.14394113421440125,0.03401147946715355,0.71334308385849,OFFBOARD,INIT,
3.627,1767787726.344899,0.006,-0.051,-0.914,-0.000,-0.002,-0.156,0.16986186802387238,0.04085507616400719,0.7086958289146423,OFFBOARD,INIT,
3.728,1767787726.446114,0.006,-0.053,-0.924,-0.000,-0.003,-0.164,0.19166266918182373,0.03638902306556702,0.7337632179260254,OFFBOARD,INIT,
3.829,1767787726.547183,0.007,-0.055,-0.936,-0.001,0.000,-0.169,0.20808176696300507,0.034833572804927826,0.7349056601524353,OFFBOARD,INIT,
3.930,1767787726.647878,0.008,-0.056,-0.948,-0.001,0.001,-0.166,0.198572039604187,0.03593023493885994,0.7415485382080078,OFFBOARD,INIT,
4.031,1767787726.748767,0.008,-0.058,-0.961,-0.002,0.001,-0.159,0.21832004189491272,0.05006676912307739,0.7324830293655396,OFFBOARD,INIT,
4.131,1767787726.849024,0.008,-0.060,-0.972,-0.003,0.001,-0.150,0.24994581937789917,0.04045264050364494,0.732555091381073,OFFBOARD,INIT,
4.231,1767787726.949267,0.008,-0.061,-0.984,-0.006,0.002,-0.139,0.26575055718421936,0.023581622168421745,0.7356595396995544,OFFBOARD,INIT,
4.332,1767787727.050164,0.008,-0.063,-0.995,-0.003,0.003,-0.129,0.2776043117046356,0.017304837703704834,0.7595862746238708,OFFBOARD,INIT,
4.433,1767787727.151086,0.008,-0.064,-1.005,-0.003,0.006,-0.119,0.27753734588623047,0.02806943468749523,0.7696996927261353,OFFBOARD,INIT,
4.534,1767787727.251776,0.008,-0.066,-1.015,-0.002,0.008,-0.109,0.2666957676410675,0.037830572575330734,0.7692053318023682,OFFBOARD,INIT,
4.635,1767787727.352893,0.008,-0.067,-1.024,-0.001,0.009,-0.098,0.2787795066833496,0.06050386652350426,0.7342033982276917,OFFBOARD,INIT,
4.736,1767787727.453643,0.008,-0.067,-1.029,-0.001,0.011,-0.092,0.27934131026268005,0.04796244949102402,0.7237023115158081,OFFBOARD,INIT,
4.837,1767787727.554536,0.008,-0.068,-1.036,-0.003,0.013,-0.083,0.26567354798316956,0.046950265765190125,0.7272257208824158,OFFBOARD,INIT,
4.938,1767787727.655606,0.008,-0.068,-1.045,-0.002,0.014,-0.069,0.25516414642333984,0.03105214238166809,0.7091287970542908,OFFBOARD,INIT,
5.039,1767787727.756773,0.008,-0.068,-1.050,-0.004,0.015,-0.060,0.2609582543373108,0.04026719927787781,0.6899062991142273,OFFBOARD,INIT,
5.139,1767787727.856975,0.008,-0.067,-1.055,-0.004,0.015,-0.053,0.27473923563957214,0.02684343233704567,0.6597332954406738,OFFBOARD,INIT,
5.240,1767787727.957964,0.007,-0.067,-1.059,-0.003,0.019,-0.046,0.2546553313732147,0.029719632118940353,0.6662054061889648,OFFBOARD,INIT,
5.341,1767787728.059103,0.007,-0.067,-1.062,-0.003,0.022,-0.040,0.2095579355955124,0.037961527705192566,0.6786984801292419,OFFBOARD,INIT,
5.442,1767787728.160096,0.008,-0.065,-1.065,-0.002,0.023,-0.034,0.16528582572937012,0.04076036810874939,0.6786854863166809,OFFBOARD,INIT,
5.543,1767787728.261220,0.008,-0.063,-1.068,-0.003,0.025,-0.031,0.15241466462612152,0.05067440867424011,0.6690073609352112,OFFBOARD,INIT,
5.644,1767787728.362169,0.008,-0.061,-1.070,-0.002,0.027,-0.026,0.1155763566493988,0.06273332238197327,0.7016173601150513,OFFBOARD,INIT,
5.745,1767787728.463113,0.008,-0.059,-1.071,-0.001,0.027,-0.023,0.08136512339115143,0.05452140420675278,0.7050613164901733,OFFBOARD,INIT,
5.847,1767787728.564565,0.008,-0.056,-1.073,-0.001,0.026,-0.022,0.07079008221626282,0.07221388816833496,0.6980758309364319,OFFBOARD,INIT,
5.948,1767787728.665644,0.008,-0.053,-1.074,-0.002,0.027,-0.021,0.045919839292764664,0.06315674632787704,0.7125898599624634,OFFBOARD,INIT,
6.048,1767787728.766344,0.007,-0.050,-1.075,-0.003,0.027,-0.019,0.0020631749648600817,0.05523233115673065,0.7175987362861633,OFFBOARD,INIT,
6.150,1767787728.867512,0.006,-0.047,-1.077,-0.003,0.026,-0.018,-0.03455372899770737,0.03892337530851364,0.7410242557525635,OFFBOARD,INIT,
6.250,1767787728.967877,0.004,-0.044,-1.078,-0.003,0.022,-0.017,-0.03732047975063324,0.03338463976979256,0.7330918312072754,OFFBOARD,INIT,
6.350,1767787729.068202,0.002,-0.041,-1.079,-0.004,0.021,-0.016,-0.040737420320510864,0.015175797045230865,0.7552745342254639,OFFBOARD,INIT,
6.451,1767787729.169470,0.000,-0.038,-1.080,-0.006,0.021,-0.015,-0.044992465525865555,-0.01743071898818016,0.7459748387336731,OFFBOARD,INIT,
6.552,1767787729.270141,-0.002,-0.035,-1.082,-0.007,0.020,-0.016,-0.0829087421298027,-0.0641808956861496,0.7547558546066284,OFFBOARD,INIT,
6.653,1767787729.370661,-0.004,-0.031,-1.083,-0.005,0.019,-0.014,-0.10685886442661285,-0.08213629573583603,0.7407245635986328,OFFBOARD,INIT,
