t,unix_time,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode,mission_phase,mission_t0_unix
0.101,1767509843.429131,2.866,-0.737,-2.025,0.015,-0.036,-0.157,1.0657778978347778,0.8280441164970398,74.21710205078125,,ALIGNMENT,
0.202,1767509843.530182,2.866,-0.738,-2.040,0.004,-0.037,-0.073,-1.0781927108764648,0.36063942313194275,70.15971374511719,,ALIGNMENT,
0.303,1767509843.631252,2.869,-0.742,-2.049,0.044,-0.054,-0.005,-3.0807085037231445,-0.32659608125686646,61.04243469238281,,ALIGNMENT,
0.404,1767509843.732353,2.875,-0.747,-2.052,0.082,-0.069,0.018,-1.5705616474151611,-0.5786961317062378,48.93086624145508,,ALIGNMENT,
0.505,1767509843.833660,2.884,-0.753,-2.054,0.092,-0.061,0.027,1.3481526374816895,-0.2780778110027313,35.96204376220703,,ALIGNMENT,
0.607,1767509843.934756,2.891,-0.757,-2.054,0.074,-0.022,0.029,3.5577566623687744,0.3017194867134094,23.84946632385254,,ALIGNMENT,
0.707,1767509844.035681,2.896,-0.754,-2.055,0.044,0.047,0.024,4.3993239402771,0.7471897006034851,13.81094741821289,,ALIGNMENT,
0.809,1767509844.136860,2.899,-0.746,-2.055,0.019,0.118,0.016,4.113062858581543,0.910952627658844,6.200993537902832,,ALIGNMENT,
0.910,1767509844.237976,2.902,-0.731,-2.057,0.001,0.181,0.002,3.2450952529907227,0.7916771769523621,0.9649547934532166,OFFBOARD,ALIGNMENT,
1.010,1767509844.338679,2.902,-0.713,-2.059,-0.011,0.223,-0.014,2.1102147102355957,0.47361111640930176,-2.62225079536438,OFFBOARD,ALIGNMENT,
1.112,1767509844.439748,2.901,-0.692,-2.063,-0.018,0.249,-0.030,1.2125250101089478,0.16499510407447815,-4.1502814292907715,OFFBOARD,ALIGNMENT,
1.213,1767509844.540762,2.900,-0.671,-2.068,-0.020,0.261,-0.047,0.4935050904750824,-0.06989488750696182,-4.503678798675537,OFFBOARD,ALIGNMENT,
1.314,1767509844.642043,2.897,-0.648,-2.074,-0.019,0.259,-0.063,-0.058019887655973434,-0.22366566956043243,-4.000699043273926,OFFBOARD,ALIGNMENT,
1.414,1767509844.742647,2.894,-0.627,-2.082,-0.016,0.251,-0.078,-0.44520431756973267,-0.29226967692375183,-2.903791904449463,OFFBOARD,ALIGNMENT,
1.515,1767509844.842976,2.891,-0.605,-2.091,-0.012,0.237,-0.092,-0.6545470952987671,-0.3057374060153961,-1.5325616598129272,OFFBOARD,ALIGNMENT,
