t,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode
0.102,-0.810,-0.847,-1.383,0.018,0.037,-0.799,-0.10338357836008072,-1.0282610654830933,41.965938568115234,
0.202,-0.806,-0.845,-1.436,0.035,0.042,-0.838,-1.7965059280395508,-1.4516410827636719,39.392330169677734,OFFBOARD
0.304,-0.797,-0.841,-1.518,0.079,0.030,-0.861,-2.434296131134033,-0.863059937953949,35.649112701416016,OFFBOARD
0.405,-0.787,-0.840,-1.580,0.105,0.013,-0.853,-1.7475861310958862,-0.31713658571243286,30.14988136291504,OFFBOARD
0.506,-0.778,-0.840,-1.634,0.117,0.005,-0.836,-0.39160314202308655,-0.03096308745443821,24.6281681060791,OFFBOARD
0.607,-0.769,-0.840,-1.686,0.119,0.005,-0.810,1.1428831815719604,0.0867285281419754,18.403409957885742,OFFBOARD
0.708,-0.754,-0.838,-1.767,0.115,0.030,-0.755,2.371380567550659,0.13605543971061707,11.87358283996582,OFFBOARD
0.810,-0.746,-0.835,-1.814,0.110,0.055,-0.715,2.92264986038208,0.15480488538742065,6.61137580871582,OFFBOARD
0.911,-0.732,-0.827,-1.885,0.106,0.105,-0.647,3.049222946166992,0.12612827122211456,2.3000295162200928,OFFBOARD
1.012,-0.723,-0.819,-1.926,0.107,0.134,-0.604,2.8689818382263184,0.03258625790476799,-0.9996433854103088,OFFBOARD
1.112,-0.708,-0.804,-1.986,0.114,0.177,-0.536,2.535703420639038,-0.060993440449237823,-3.3104135990142822,OFFBOARD
1.214,-0.698,-0.793,-2.020,0.119,0.200,-0.497,2.1472692489624023,-0.1630837619304657,-4.603966236114502,OFFBOARD
1.315,-0.688,-0.781,-2.052,0.127,0.220,-0.458,1.7094653844833374,-0.2781684696674347,-5.307870864868164,OFFBOARD
1.418,-0.671,-0.760,-2.099,0.140,0.242,-0.400,1.2532200813293457,-0.36927908658981323,-5.460543632507324,OFFBOARD
1.520,-0.653,-0.738,-2.138,0.152,0.255,-0.351,0.8370047807693481,-0.42175567150115967,-5.137470722198486,OFFBOARD
1.620,-0.640,-0.720,-2.165,0.160,0.261,-0.316,0.5024853348731995,-0.440523624420166,-4.556441783905029,OFFBOARD
1.721,-0.621,-0.696,-2.196,0.171,0.262,-0.273,0.28292375802993774,-0.4440113306045532,-3.862387180328369,OFFBOARD
1.822,-0.608,-0.680,-2.214,0.178,0.262,-0.247,0.16851259768009186,-0.4581660330295563,-3.0349385738372803,OFFBOARD
1.923,-0.593,-0.661,-2.233,0.186,0.261,-0.222,0.11370188742876053,-0.46328696608543396,-2.217689037322998,OFFBOARD
2.024,-0.580,-0.644,-2.248,0.193,0.260,-0.201,0.09692714363336563,-0.4700237214565277,-1.4481743574142456,OFFBOARD
2.125,-0.557,-0.616,-2.270,0.204,0.262,-0.171,0.12393266707658768,-0.5019680261611938,-0.464608758687973,OFFBOARD
2.227,-0.543,-0.598,-2.282,0.211,0.261,-0.155,0.15202084183692932,-0.5132191777229309,0.1804121434688568,OFFBOARD
