t,unix_time,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode,mission_phase,mission_t0_unix
0.101,1767509223.740986,-0.028,0.001,-2.011,0.040,-0.060,-0.159,0.2504021227359772,0.0071481578052043915,0.5162621736526489,,ALIGNMENT,
0.202,1767509223.841970,-0.026,-0.006,-2.031,0.041,-0.055,-0.106,0.3240114152431488,-0.19062890112400055,0.4512559473514557,,ALIGNMENT,
0.303,1767509223.942881,-0.024,-0.012,-2.042,0.046,-0.051,-0.039,0.3767443001270294,-0.795292854309082,0.33818817138671875,,ALIGNMENT,
0.403,1767509224.043538,-0.020,-0.018,-2.048,0.063,-0.043,0.006,0.41941648721694946,-1.5444287061691284,0.23730529844760895,,ALIGNMENT,
0.505,1767509224.144869,-0.015,-0.022,-2.051,0.089,-0.037,0.026,0.42422717809677124,-2.244926929473877,0.15363353490829468,,ALIGNMENT,
0.606,1767509224.246115,-0.006,-0.026,-2.052,0.132,-0.032,0.034,0.44543761014938354,-2.8291378021240234,0.10183969885110855,,ALIGNMENT,
0.707,1767509224.346647,0.011,-0.031,-2.053,0.198,-0.022,0.031,0.4387449622154236,-3.2743875980377197,0.07011622190475464,,ALIGNMENT,
0.807,1767509224.446810,0.029,-0.033,-2.054,0.251,-0.014,0.022,0.3992457389831543,-3.617532968521118,0.0679062008857727,,ALIGNMENT,
0.907,1767509224.547272,0.054,-0.035,-2.056,0.317,-0.007,0.010,0.35199615359306335,-3.8894271850585938,0.10058183968067169,OFFBOARD,ALIGNMENT,
1.008,1767509224.648200,0.082,-0.035,-2.058,0.379,0.000,-0.004,0.2939836382865906,-4.023919105529785,0.17431603372097015,OFFBOARD,ALIGNMENT,
1.109,1767509224.749034,0.119,-0.035,-2.062,0.449,0.005,-0.018,0.2308431714773178,-4.094679355621338,0.24686948955059052,OFFBOARD,ALIGNMENT,
